サイト,市町,種別,種別根拠,所在地,価格(万円),土地面積(㎡),坪単価(万円/坪),種別上限(万円),地目,都市計画,接道,建築可否,建築可否理由,属人性,検出日,フラグ,詳細URL,判定
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市長崎350-4,1380,205.0,22.3,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-15,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_75042521/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市大仁,1380,342.3,13.3,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_76627283/,適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市長岡,1400,354.1,13.1,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-25,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_21145042/,適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市三福69-4,1468,165.5,29.3,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20609438/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市原木,1500,173.3,28.6,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_21068965/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市三福171-10他,1600,172.1,30.7,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-29,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_75550290/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市中條400-1,2100,366.3,19.0,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_84674278/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市古奈,2380,396.0,19.9,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20764232/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市長岡,2480,1316.0,6.2,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20869771/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市天野110,2480,653.0,12.6,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_72137058/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市中,2730,1350.5,6.7,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_71149502/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市四日町897-1,2800,961.8,9.6,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_74062654/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市富士見,3000,850.9,11.7,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_70162419/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市田京,4990,1152.9,14.3,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_71292657/,不適合
SUUMO 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,静岡県伊豆の国市南江間,10000,2228.0,14.8,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-17,,https://suumo.jp/tochi/shizuoka/sc_izunokuni/nc_20069747/,不適合
LIFULL 土地 伊豆の国市,伊豆の国市,古家付き土地,土地＋古家/上物の表記,伊豆の国市大仁 (大仁駅),1400,,,1500,—,—,,不明,接道・区分情報なし。建物ありだが現行法での再建築可否は役場で要確認,,2026-07-04,,https://www.homes.co.jp/tochi/b-33318410000009/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市大仁 (大仁駅),1380,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-11,,https://www.homes.co.jp/tochi/b-1500050000386/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,古家付き土地,土地＋古家/上物の表記,伊豆の国市南條 (伊豆長岡駅),680,,,1500,—,—,,不明,接道・区分情報なし。建物ありだが現行法での再建築可否は役場で要確認,,2026-07-12,,https://www.homes.co.jp/tochi/b-1500050000639/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市韮山多田 (原木駅),148,,,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-12,,https://www.homes.co.jp/tochi/b-1500050000603/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市南條 (伊豆長岡駅),300,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-12,,https://www.homes.co.jp/tochi/b-1500050000472/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市韮山山木 (韮山駅),400,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-12,,https://www.homes.co.jp/tochi/b-1500050000370/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市中 (伊豆長岡駅),330,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-12,,https://www.homes.co.jp/tochi/b-1500050000601/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市奈古谷 (熱海駅),80,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-26,,https://www.homes.co.jp/tochi/b-33303660000840/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市長岡 (伊豆長岡駅),1480,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-07-03,注意:温泉,https://www.homes.co.jp/tochi/b-33315810000245/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市原木 (韮山駅),750,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-26,,https://www.homes.co.jp/tochi/b-33303690000049/,数値不明
