サイト,市町,種別,種別根拠,所在地,価格(万円),土地面積(㎡),坪単価(万円/坪),種別上限(万円),地目,都市計画,接道,建築可否,建築可否理由,属人性,検出日,フラグ,詳細URL,判定
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市奈古谷小松ケ原,100,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-26,注意:別荘地,https://www.homes.co.jp/tochi/b-33303660000686/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,古家付き土地,土地＋古家/上物の表記,伊豆の国市大仁 (大仁駅),1350,,,1500,—,—,,不明,接道・区分情報なし。建物ありだが現行法での再建築可否は役場で要確認,,2026-06-25,,https://www.homes.co.jp/tochi/b-33313200000024/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市韮山多田富士見ニュータウン (韮山駅),100,,,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-24,注意:別荘地 NG:富士見ニュータウン,https://www.homes.co.jp/tochi/b-1546940000015/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市四日町 (韮山駅),1300,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-29,,https://www.homes.co.jp/tochi/b-33319390000005/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市長崎 (原木駅),1150,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-28,,https://www.homes.co.jp/tochi/b-33329030000093/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市御門 (田京駅),1280,,,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-29,,https://www.homes.co.jp/tochi/b-39046610000081/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市韮山多田富士見ニュータウン,100,,,1500,田,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-21,NG:富士見ニュータウン,https://www.homes.co.jp/tochi/b-33308270000285/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市大仁 (大仁駅),1480,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-23,,https://www.homes.co.jp/tochi/b-33318410000042/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,古家付き土地,土地＋古家/上物の表記,伊豆の国市大仁 (大仁駅),1400,,,1500,—,—,,不明,接道・区分情報なし。建物ありだが現行法での再建築可否は役場で要確認,,2026-06-23,,https://www.homes.co.jp/tochi/b-33318410000009/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市奈古谷小松ケ原,680,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-19,,https://www.homes.co.jp/tochi/b-33311850000189/,数値不明
LIFULL 土地 伊豆の国市,伊豆の国市,更地,土地カテゴリ（建物表記なし）,伊豆の国市原木 (原木駅),980,,,1500,—,—,,不明,接道・区分情報なし、詳細/役場で要確認,,2026-06-19,,https://www.homes.co.jp/tochi/b-33316480000096/,数値不明
