サイト,所在地,価格(万円),土地面積(㎡),坪単価(万円/坪),地目,都市計画,再建築可否,再建築理由,検出日,フラグ,詳細URL,判定
SUUMO 土地 三島市,静岡県三島市光ケ丘,1880,241.3,25.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20915486/,不適合
SUUMO 土地 三島市,静岡県三島市松本,1880,180.7,34.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20556749/,不適合
SUUMO 土地 三島市,静岡県三島市山中新田,1900,472.6,13.3,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_75287975/,不適合
SUUMO 土地 三島市,静岡県三島市山中新田,1900,472.6,13.3,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_76931154/,不適合
SUUMO 土地 三島市,静岡県三島市徳倉４,1920,193.1,32.9,宅地,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78937420/,不適合
SUUMO 土地 三島市,静岡県三島市中島,1980,177.0,37.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78608940/,不適合
SUUMO 土地 三島市,静岡県三島市三恵台,1980,267.4,24.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_77233691/,不適合
SUUMO 土地 三島市,静岡県三島市大場246-18,1990,172.4,38.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20727667/,不適合
SUUMO 土地 三島市,静岡県三島市光ケ丘,2450,255.3,31.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_73209966/,不適合
SUUMO 土地 三島市,静岡県三島市大場,2500,169.1,48.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_77220846/,不適合
SUUMO 土地 三島市,静岡県三島市東本町２,2580,115.9,73.6,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78510972/,不適合
SUUMO 土地 三島市,静岡県三島市旭ヶ丘,2580,278.6,30.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78874551/,不適合
SUUMO 土地 三島市,静岡県三島市栄町,2780,133.3,68.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20649722/,不適合
SUUMO 土地 三島市,静岡県三島市沢地,2800,360.9,25.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20533317/,不適合
SUUMO 土地 三島市,静岡県三島市幸原町１,2880,193.0,49.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20298120/,不適合
SUUMO 土地 三島市,静岡県三島市清住町,2920,138.2,69.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_79170166/,不適合
SUUMO 土地 三島市,静岡県三島市東本町２,3200,198.5,53.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20359048/,不適合
SUUMO 土地 三島市,静岡県三島市谷田1159-297,3500,490.1,23.6,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20594430/,不適合
SUUMO 土地 三島市,静岡県三島市泉町2431-1,5180,197.6,86.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_20319563/,不適合
SUUMO 土地 三島市,静岡県三島市若松町,11000,2855.2,12.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_70432019/,不適合
SUUMO 土地 三島市,静岡県三島市若松町,11000,2855.2,12.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_78686654/,不適合
SUUMO 土地 三島市,静岡県三島市若松町,11000,2849.3,12.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_mishima/nc_97070761/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡,1884,150.2,41.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20167344/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫533-1の内,1134,156.1,24.0,宅地,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_75495354/,不適合
SUUMO 土地 沼津市,静岡県沼津市岡宮,1400,166.0,27.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77542585/,不適合
SUUMO 土地 沼津市,静岡県沼津市岡宮,1690,152.6,36.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_76931185/,不適合
SUUMO 土地 沼津市,静岡県沼津市岡宮,1740,173.7,33.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78717051/,不適合
SUUMO 土地 沼津市,静岡県沼津市西熊堂字久保３５３－１１,2280,167.3,45.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20524045/,不適合
SUUMO 土地 沼津市,静岡県沼津市寿町943-2他,2280,155.7,48.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_76794185/,不適合
SUUMO 土地 沼津市,静岡県沼津市本田町197-23他,2500,157.5,52.5,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_79036503/,不適合
SUUMO 土地 沼津市,静岡県沼津市岡宮,1760,177.7,32.7,宅地,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78859801/,不適合
SUUMO 土地 沼津市,静岡県沼津市志下,1100,485.9,7.5,宅地,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20671314/,不適合
SUUMO 土地 沼津市,静岡県沼津市西島町,1350,218.2,20.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78937355/,不適合
SUUMO 土地 沼津市,静岡県沼津市山王台,1700,162.6,34.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78139490/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫前原,7180,1188.8,20.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78937350/,不適合
SUUMO 土地 沼津市,静岡県沼津市小諏訪,279,308.0,3.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_74310057/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫柿原,320,160.7,6.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_75867140/,不適合
SUUMO 土地 沼津市,静岡県沼津市小諏訪,350,92.6,12.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77793449/,不適合
SUUMO 土地 沼津市,静岡県沼津市志下,380,251.0,5.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_75325373/,不適合
SUUMO 土地 沼津市,静岡県沼津市市道町,390,112.0,11.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_79217136/,不適合
SUUMO 土地 沼津市,静岡県沼津市高砂町,450,65.8,22.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_76747984/,不適合
SUUMO 土地 沼津市,静岡県沼津市高砂町,450,65.8,22.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_97390221/,不適合
SUUMO 土地 沼津市,静岡県沼津市真砂町19-8,480,58.5,27.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20165941/,不適合
SUUMO 土地 沼津市,静岡県沼津市大平,498,151.9,10.8,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_91502801/,不適合
SUUMO 土地 沼津市,静岡県沼津市市道町14-5,500,60.3,27.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78937278/,不適合
SUUMO 土地 沼津市,静岡県沼津市石川,500,309.6,5.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_96975964/,不適合
SUUMO 土地 沼津市,静岡県沼津市東椎路,500,66.9,24.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20324267/,不適合
SUUMO 土地 沼津市,静岡県沼津市石川,550,145.7,12.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_75839318/,不適合
SUUMO 土地 沼津市,静岡県沼津市根古屋,550,148.8,12.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_97479775/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫宮原,580,113.1,17.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_79211058/,不適合
SUUMO 土地 沼津市,静岡県沼津市寿町,600,56.0,35.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_70958807/,不適合
SUUMO 土地 沼津市,静岡県沼津市寿町,600,56.0,35.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_71879235/,不適合
SUUMO 土地 沼津市,静岡県沼津市戸田,600,156.1,12.7,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20507899/,不適合
SUUMO 土地 沼津市,静岡県沼津市東椎路,650,88.4,24.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_74456530/,不適合
SUUMO 土地 沼津市,静岡県沼津市大塚,650,226.4,9.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78936988/,不適合
SUUMO 土地 沼津市,静岡県沼津市西間門,680,188.0,12.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20897045/,不適合
SUUMO 土地 沼津市,静岡県沼津市八幡町,680,80.3,28.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_75642328/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫大久保,680,197.0,11.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20512806/,不適合
SUUMO 土地 沼津市,静岡県沼津市東原,680,175.7,12.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_76799662/,不適合
SUUMO 土地 沼津市,静岡県沼津市大平1525-2,700,199.0,11.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_95748913/,不適合
SUUMO 土地 沼津市,静岡県沼津市常盤町２,700,115.0,20.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20867731/,不適合
SUUMO 土地 沼津市,静岡県沼津市大平2874-545,760,209.8,12.0,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78392963/,不適合
SUUMO 土地 沼津市,静岡県沼津市原,780,300.2,8.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77154533/,不適合
SUUMO 土地 沼津市,静岡県沼津市西間門,780,191.0,13.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77750894/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫大久保,780,158.7,16.2,宅地,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_96721587/,不適合
SUUMO 土地 沼津市,静岡県沼津市八幡町,800,72.6,36.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77118002/,不適合
SUUMO 土地 沼津市,静岡県沼津市内浦重寺,800,144.0,18.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77117996/,不適合
SUUMO 土地 沼津市,静岡県沼津市西間門,800,166.1,15.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77866500/,不適合
SUUMO 土地 沼津市,静岡県沼津市青野,800,251.1,10.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20701652/,不適合
SUUMO 土地 沼津市,静岡県沼津市上香貫九十九洞,840,142.0,19.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20069770/,不適合
SUUMO 土地 沼津市,静岡県沼津市根古屋,840,165.3,16.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78409667/,不適合
SUUMO 土地 沼津市,静岡県沼津市東椎路1303-37,850,115.7,24.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_73896964/,不適合
SUUMO 土地 沼津市,静岡県沼津市根古屋,850,200.3,14.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20431435/,不適合
SUUMO 土地 沼津市,静岡県沼津市根古屋,850,200.3,14.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20438778/,不適合
SUUMO 土地 沼津市,静岡県沼津市足高,880,176.3,16.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20952198/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡,880,103.4,28.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_74720703/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡,890,151.5,19.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_74388767/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡,950,132.3,23.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_74700206/,不適合
SUUMO 土地 沼津市,静岡県沼津市東椎路116-11,950,158.7,19.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_75323271/,不適合
SUUMO 土地 沼津市,静岡県沼津市原,980,227.0,14.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_93966743/,不適合
SUUMO 土地 沼津市,静岡県沼津市今沢,980,554.0,5.8,畑,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77088510/,適合
SUUMO 土地 沼津市,静岡県沼津市大塚,980,345.2,9.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78843510/,適合
SUUMO 土地 沼津市,静岡県沼津市大塚,980,265.3,12.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78843511/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫八重,990,147.6,22.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77612174/,不適合
SUUMO 土地 沼津市,静岡県沼津市東椎路,990,163.7,20.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78123918/,不適合
SUUMO 土地 沼津市,静岡県沼津市原字鳥澤６４７－１ノ一部,1060,159.2,22.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_91718724/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡,1080,165.0,21.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20374403/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡263-6,1100,169.7,21.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20359016/,不適合
SUUMO 土地 沼津市,静岡県沼津市西島町,1100,158.4,23.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_21016503/,不適合
SUUMO 土地 沼津市,静岡県沼津市東原,1100,182.4,19.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_91502848/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫八重,1180,163.8,23.8,宅地,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_94434597/,不適合
SUUMO 土地 沼津市,静岡県沼津市内浦重寺,1200,183.9,21.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77034008/,不適合
SUUMO 土地 沼津市,静岡県沼津市志下,1200,396.0,10.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_75325379/,不適合
SUUMO 土地 沼津市,静岡県沼津市錦町,1200,113.7,34.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77584008/,不適合
SUUMO 土地 沼津市,静岡県沼津市本郷町486-3,1200,137.5,28.9,宅地,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78297832/,不適合
SUUMO 土地 沼津市,静岡県沼津市本松下,1230,176.7,23.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_75920486/,不適合
SUUMO 土地 沼津市,静岡県沼津市西間門,1250,221.5,18.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20069819/,不適合
SUUMO 土地 沼津市,静岡県沼津市青野,1270,258.6,16.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78722787/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡,1280,265.7,15.9,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78965910/,不適合
SUUMO 土地 沼津市,静岡県沼津市三園町,1280,158.7,26.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_92876179/,不適合
SUUMO 土地 沼津市,静岡県沼津市西島町1111-6,1300,184.0,23.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_97896894/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫馬場465-1,1320,218.4,20.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_79218822/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫木ノ宮,1380,204.2,22.3,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_21059753/,不適合
SUUMO 土地 沼津市,静岡県沼津市東熊堂51番25他,1380,142.4,32.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77120577/,不適合
SUUMO 土地 沼津市,静岡県沼津市高沢町,1380,119.3,38.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20834177/,不適合
SUUMO 土地 沼津市,静岡県沼津市東原,1400,265.7,17.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_76497992/,不適合
SUUMO 土地 沼津市,静岡県沼津市戸田,1400,699.0,6.6,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20816237/,不適合
SUUMO 土地 沼津市,静岡県沼津市原町中３-10-17,1420,194.2,24.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78345343/,不適合
SUUMO 土地 沼津市,静岡県沼津市花園町,1480,143.3,34.1,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_79054947/,不適合
SUUMO 土地 沼津市,静岡県沼津市小諏訪,1480,226.2,21.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20700855/,不適合
SUUMO 土地 沼津市,静岡県沼津市岡宮1174,1480,167.4,29.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_79054354/,不適合
SUUMO 土地 沼津市,静岡県沼津市東原,1490,248.6,19.8,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_75326134/,不適合
SUUMO 土地 沼津市,静岡県沼津市高尾台,1490,186.2,26.5,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20957683/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡字池田3500-9、3449-24他,1490,191.5,25.7,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_77862360/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫楊原,1490,222.1,22.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_73243855/,不適合
SUUMO 土地 沼津市,静岡県沼津市下香貫楊原,1490,222.1,22.2,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20921291/,不適合
SUUMO 土地 沼津市,静岡県沼津市三枚橋町,1580,102.5,51.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_79141507/,不適合
SUUMO 土地 沼津市,静岡県沼津市中沢田,1580,221.5,23.6,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20141116/,不適合
SUUMO 土地 沼津市,静岡県沼津市原,1600,385.4,13.7,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_74398998/,不適合
SUUMO 土地 沼津市,静岡県沼津市吉田町28-22,1650,193.3,28.2,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_73849716/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡,1650,223.7,24.4,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20764833/,不適合
SUUMO 土地 沼津市,静岡県沼津市中沢田,1650,167.0,32.7,田,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_78994580/,不適合
SUUMO 土地 沼津市,静岡県沼津市西熊堂,1680,245.6,22.6,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20249064/,不適合
SUUMO 土地 沼津市,静岡県沼津市大岡,1680,213.7,26.0,—,—,不明,接道・区分情報なし、詳細/役場で要確認,2026-06-13,,https://suumo.jp/tochi/shizuoka/sc_numazu/nc_20522570/,不適合
